ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
106,NBC-arch1-106,NBC-arch1,VALDOR,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
107,NBC-arch1-107,NBC-arch1,BROADVIEW,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
108,NBC-arch1-108,NBC-arch1,ESTEVAN,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
109,NBC-arch1-109,NBC-arch1,MOOSEJAW,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
110,NBC-arch1-110,NBC-arch1,NORTHBATTLEFORD,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
111,NBC-arch1-111,NBC-arch1,PRINCEALBERT,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
112,NBC-arch1-112,NBC-arch1,Regina,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
113,NBC-arch1-113,NBC-arch1,SASKATOON,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
114,NBC-arch1-114,NBC-arch1,SWIFTCURRENT,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
115,NBC-arch1-115,NBC-arch1,URANIUMCITY,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
116,NBC-arch1-116,NBC-arch1,YORKTON,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
117,NBC-arch1-117,NBC-arch1,DAWSONCITY,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
118,NBC-arch1-118,NBC-arch1,Whitehorse,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
119,NBC-arch1-119,NBC-arch1,Whitehorse,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
