ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
180,RR-SmallSFD-180,SmallSFD,Vancouver,ACH_1_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R20_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,DWHR-eff-30,basefurnace,NA
181,RR-SmallSFD-181,SmallSFD,Vancouver,ACH_2_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R20_under,NA,CeilR80,HG-avg-Triple,HPHotWater,DWHR-eff-42,gas-furnace-ecm,HRV_60
182,RR-SmallSFD-182,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_XPS_R-30,STEP_R25FDN_R30_under,NA,CeilR60,HG-i89-Triple-B,HPHotWater,none,CCASHP-ecm,HRV_60
183,RR-SmallSFD-183,SmallSFD,Vancouver,ACH_1_5,Stud_2x6_XPS_R-30,STEP_R16FDN_R11_under,NA,CeilR40,HG-i89-Triple-B,HPHotWater,none,CCASHP-ecm,HRV_60
184,RR-SmallSFD-184,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR100,MG-HP-Double,HPHotWater,none,CCASHP-ecm,HRV_70
185,RR-SmallSFD-185,SmallSFD,Vancouver,ACH_1_5,Stud_2x4_2in_XPS_R-24,STEP_R20FDN_R30_under,NA,CeilR40,HG-avg-Triple,HPHotWater,none,CCASHP-ecm,HRV_75
186,RR-SmallSFD-186,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_R18,STEP_R25FDN_R30_under,NA,CeilR60,HG-i89-Triple-B,HPHotWater,none,CCASHP-ecm,HRV_60
187,RR-SmallSFD-187,SmallSFD,Vancouver,ACH_0_6,Stud_2x4_2in_XPS_R-24,STEP_BaseFDN_R11_under,NA,CeilR60,MG-i89-Double,HPHotWater,DWHR-eff-55,CCASHP-ecm,HRV_70
188,RR-SmallSFD-188,SmallSFD,Vancouver,ACH_1_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R20_under,NA,CeilR100,MG-i89-Double,HPHotWater,DWHR-eff-55,gas-furnace-ecm,HRV_84
189,RR-SmallSFD-189,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_BaseFDN_R11_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,none,basefurnace,HRV_70
190,RR-SmallSFD-190,SmallSFD,Vancouver,ACH_1_5,Stud_2x6_XPS_R-22,STEP_BaseFDN_R11_under,NA,CeilR70,HG-HP-Triple,HPHotWater,none,CCASHP-ecm,HRV_84
191,RR-SmallSFD-191,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_XPS_R-22,STEP_R25FDN_R20_under,NA,CeilR100,HG-avg-Triple,HPHotWater,DWHR-eff-55,basefurnace,HRV_84
192,RR-SmallSFD-192,SmallSFD,Vancouver,ACH_2_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R11_under,NA,CeilR60,HG-i89-Triple-B,HPHotWater,DWHR-eff-55,basefurnace,HRV_60
193,RR-SmallSFD-193,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR100,MG-i89-Double,HPHotWater,none,CCASHP-ecm,HRV_75
194,RR-SmallSFD-194,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_R16,STEP_R20FDN_R11_under,NA,CeilR40,HG-i89-Triple-B,HPHotWater,DWHR-eff-42,CCASHP-ecm,HRV_84
195,RR-SmallSFD-195,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR50,HG-i89-Triple-B,HPHotWater,none,basefurnace,HRV_84
196,RR-SmallSFD-196,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_BaseFDN_R30_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,none,CCASHP-ecm,NA
197,RR-SmallSFD-197,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR60,MG-i89-Double,HPHotWater,DWHR-eff-30,CCASHP-ecm,HRV_70
198,RR-SmallSFD-198,SmallSFD,Vancouver,ACH_1_5,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R11_under,NA,CeilR50,HG-avg-Triple,HPHotWater,DWHR-eff-30,CCASHP-ecm,NA
199,RR-SmallSFD-199,SmallSFD,Vancouver,ACH_0_6,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R20_under,NA,CeilR50,MG-i89-Double,HPHotWater,none,CCASHP-ecm,HRV_60
