Scenario,ID,Opt-ACH,Opt-GenericWall_1Layer_definitions,Opt-H2KFoundation,Opt-ExposedFloor,Opt-Ceilings,Opt-CasementWindows,Opt-DHWSystem,Opt-DWHRSystem,Opt-HVACSystem,Opt-HRVSpec,Opt-H2K-PV
Rerun,4705, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R20_under,NA, CeilR50, MG-i89-Double, HPHotWater,none, CCASHP-ecm, HRV_60,NA
Rerun,4706,ACH_3_5, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R0_under,NA, CeilR50,LG-avg-Double, HPHotWater, DWHR-eff-30,gas-furnace-ecm,NA, MonoSi-5kW
Rerun,4707, ACH_2_5,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA,CeilR40, HG-i89-Triple-B,BaseDHW, DWHR-eff-30,basefurnace, HRV_70, MonoSi-5kW
Rerun,4708, ACH_2_5, Stud_2x6_EPS_R-40, STEP_R16FDN_R11_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater, DWHR-eff-30,basefurnace, HRV_84,NA
Rerun,4709,ACH_3_5,Stud_2x6_R16, STEP_R25FDN_R20_under,NA, CeilR100,LG-avg-Double,BaseDHW, DWHR-eff-30, ComboHeatA,NA, MonoSi-10kW
Rerun,4710, ACH_1_5, Stud_2x4_2in_XPS_R-24,STEP_BaseFDN_R0_under,NA, CeilR50,LG-avg-Double,BaseDHW, DWHR-eff-30,gas-furnace-ecm,NA, MonoSi-10kW
Rerun,4711, ACH_2_5, Stud_2x6_R18, STEP_R25FDN_R20_under,NA, CeilR80,LG-avg-Double, GasInst_Low, DWHR-eff-30,gas-furnace-ecm, HRV_84, MonoSi-5kW
Rerun,4712, ACH_0_6, Stud_2x6_R18,STEP_BaseFDN_R0_under,NA, CeilR50,LG-avg-Double, ElectricStorage, DWHR-eff-30,basefurnace, HRV_70, MonoSi-5kW
Rerun,4713, ACH_1_0, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR100, HG-HP-Triple, HPHotWater,none,basefurnace,NA,NA
Rerun,4714, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R0_under,NA, CeilR70,LG-avg-Double,BaseDHW,  DWHR-eff-42,gas-furnace-ecm, HRV_84, MonoSi-5kW
Rerun,4715,ACH_3_5, Stud_2x6_XPS_R-22, STEP_R25FDN_R11_under,NA, CeilR50, LG-avg-Triple, GasInstantaneous,none,basefurnace,NA, MonoSi-5kW
Rerun,4716, ACH_2_5,Stud_2x6_R16, STEP_BaseFDN_R11_under,NA, CeilR60, LG-avg-Triple,BaseDHW, DWHR-eff-30,gas-furnace-ecm, HRV_84, MonoSi-8kW
Rerun,4717, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R20FDN_R0_under,NA,CeilR40,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_60,NA
Rerun,4718, ACH_0_6, Stud_2x6_XPS_R-22, STEP_R25FDN_R20_under,NA, CeilR100, HG-avg-Triple, HPHotWater, DWHR-eff-55,basefurnace, HRV_84,NA
Rerun,4719, ACH_2_5,Stud_2x6_R16, STEP_R16FDN_R0_under,NA, CeilR80,LG-avg-Double, GasInst_Low, DWHR-eff-30,basefurnace, HRV_60, MonoSi-10kW
Rerun,4720, ACH_1_0,Stud_2x6_R16, STEP_R25FDN_R0_under,NA, CeilR60, HG-HP-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA,NA
Rerun,4721, ACH_1_5,Stud_2x6_R16, STEP_R25FDN_R20_under,NA, CeilR70,LG-avg-Double, GasInst_Low,none,gas-furnace-ecm, HRV_84, MonoSi-5kW
